Start,End,Stopover,Distance,RequiredTime
代々木上原,代々木公園,千代田線,1.0,2
代々木公園,明治神宮前,千代田線,1.2,2
明治神宮前,表参道,千代田線,0.9,2
表参道,乃木坂,千代田線,1.4,3
乃木坂,赤坂,千代田線,1.1,2
赤坂,国会議事堂前,千代田線,0.8,1
国会議事堂前,霞ヶ関,千代田線,0.7,1
霞ヶ関,日比谷,千代田線,1.2,2
日比谷,二重橋前,千代田線,0.7,1
二重橋前,大手町,千代田線,0.7,1
大手町,新御茶ノ水,千代田線,1.3,2
新御茶ノ水,湯島,千代田線,1.2,2
湯島,根津,千代田線,1.2,2
根津,千駄木,千代田線,1.0,2
千駄木,西日暮里,千代田線,0.9,1
西日暮里,町屋,千代田線,1.7,2
町屋,北千住,千代田線,2.6,3
北千住,綾瀬,千代田線,2.5,3
綾瀬,北綾瀬,千代田線,2.1,4
浅草,田原町,銀座線,0.8,2
田原町,稲荷町,銀座線,0.7,1
稲荷町,上野,銀座線,0.7,2
上野,上野広小路,銀座線,0.5,2
上野広小路,末広町,銀座線,0.6,1
末広町,神田,銀座線,1.1,2
神田,三越前,銀座線,0.7,1
三越前,日本橋,銀座線,0.6,2
日本橋,京橋,銀座線,0.7,2
京橋,銀座,銀座線,0.7,1
銀座,新橋,銀座線,0.9,2
新橋,虎ノ門,銀座線,0.8,2
虎ノ門,溜池山王,銀座線,0.6,2
溜池山王,赤坂見附,銀座線,0.9,2
赤坂見附,青山一丁目,銀座線,1.3,2
青山一丁目,外苑前,銀座線,0.7,2
外苑前,表参道,銀座線,0.7,1
表参道,渋谷,銀座線,1.3,1
渋谷,表参道,半蔵門線,1.3,2
表参道,青山一丁目,半蔵門線,1.4,2
青山一丁目,永田町,半蔵門線,1.3,2
永田町,半蔵門,半蔵門線,1.0,2
半蔵門,九段下,半蔵門線,1.6,2
九段下,神保町,半蔵門線,0.4,1
神保町,大手町,半蔵門線,1.7,3
大手町,三越前,半蔵門線,0.7,1
三越前,水天宮前,半蔵門線,1.3,2
水天宮前,清澄白河,半蔵門線,1.7,3
清澄白河,住吉,半蔵門線,1.9,3
住吉,錦糸町,半蔵門線,1.,2
錦糸町,押上,半蔵門線,1.4,2
中目黒,恵比寿,日比谷線,1.,2
恵比寿,広尾,日比谷線,1.5,3
広尾,六本木,日比谷線,1.7,3
六本木,神谷町,日比谷線,1.5,3
神谷町,霞ヶ関,日比谷線,1.3,2
霞ヶ関,日比谷,日比谷線,1.2,2
日比谷,銀座,日比谷線,0.4,1
銀座,東銀座,日比谷線,0.4,1
東銀座,築地,日比谷線,0.6,2
築地,八丁堀,日比谷線,1.,2
八丁堀,茅場町,日比谷線,0.5,1
茅場町,人形町,日比谷線,0.9,2
人形町,小伝馬町,日比谷線,0.6,1
小伝馬町,秋葉原,日比谷線,0.9,2
秋葉原,仲御徒町,日比谷線,1.,1
仲御徒町,上野,日比谷線,0.5,1
上野,入谷,日比谷線,1.2,2
入谷,三ノ輪,日比谷線,1.2,2
三ノ輪,南千住,日比谷線,0.8,2
南千住,北千住,日比谷線,1.8,3
池袋,新大塚,丸ノ内線,1.8,3
新大塚,茗荷谷,丸ノ内線,1.2,2
茗荷谷,後楽園,丸ノ内線,1.8,2
後楽園,本郷三丁目,丸ノ内線,0.8,1
本郷三丁目,御茶ノ水,丸ノ内線,0.8,1
御茶ノ水,淡路町,丸ノ内線,0.8,1
淡路町,大手町,丸ノ内線,0.9,2
大手町,東京,丸ノ内線,0.6,1
東京,銀座,丸ノ内線,1.1,2
銀座,霞ヶ関,丸ノ内線,1.0,2
霞ヶ関,国会議事堂前,丸ノ内線,0.7,1
国会議事堂前,赤坂見附,丸ノ内線,0.9,2
赤坂見附,四ツ谷,丸ノ内線,1.3,2
四ツ谷,四谷三丁目,丸ノ内線,1.0,2
四谷三丁目,新宿御苑前,丸ノ内線,0.9,1
新宿御苑前,新宿三丁目,丸ノ内線,0.7,1
新宿三丁目,新宿,丸ノ内線,0.3,1
新宿,西新宿,丸ノ内線,0.8,1
