Name,NameKana,NameRomaji,Region
代々木上原, よよぎうえはら, yoyogiuehara, 千代田線
代々木公園, よよぎこうえん, yoyogikouen, 千代田線
明治神宮前, めいじじんぐうまえ, meijijinguumae, 千代田線
表参道, おもてさんどう, omotesandou, 千代田線
乃木坂, のぎざか, nogizaka, 千代田線
赤坂, あかさか, akasaka, 千代田線
国会議事堂前, こっかいぎじどうまえ, kokkaigijidoumae, 千代田線
霞ヶ関, かすみがせき, kasumigaseki, 千代田線
日比谷, ひびや, hibiya, 千代田線
二重橋前, にじゅうばしまえ, nijuubasimae, 千代田線
大手町, おおてまち, otemachi, 千代田線
新御茶ノ水, しんおちゃのみず, shin-ochanomizu, 千代田線
湯島, ゆしま, yushima, 千代田線
根津, ねづ, nedu, 千代田線
千駄木, せんだぎ, sendagi, 千代田線
西日暮里, にしにっぽり, nishinippori, 千代田線
町屋, まちや, machiya, 千代田線
北千住, きたせんじゅ, kitasenjyu, 千代田線
綾瀬, あやせ, ayase, 千代田線
北綾瀬, きたあやせ, kitaayase, 千代田線
浅草, あさくさ, asakusa, 銀座線
田原町, たわらまち, tawaramachi, 銀座線
稲荷町, いなりちょう, inaricho, 銀座線
上野, うえの, ueno, 銀座線
上野広小路, うえのひろこうじ, uenohirokoji, 銀座線
末広町, すえひろちょう, suehirocho, 銀座線
神田, かんだ, kanda, 銀座線
三越前, みつこしまえ, mitsukoshimae, 銀座線
日本橋, にほんばし, nihonbashi, 銀座線
京橋, きょうばし, kyobashi, 銀座線
銀座, ぎんざ, ginza, 銀座線
新橋, しんばし, shinbashi, 銀座線
虎ノ門, とらのもん, toranomon, 銀座線
溜池山王, ためいけさんのう, tameikesannou, 銀座線
赤坂見附, あかさかみつけ, akasakamitsuke, 銀座線
青山一丁目, あおやまいっちょうめ, aoyamaicchome, 銀座線
外苑前, がいえんまえ, gaienmae, 銀座線
表参道, おもてさんどう, omotesando, 銀座線
渋谷, しぶや, shibuya, 銀座線
渋谷, しぶや, shibuya, 半蔵門線
表参道, おもてさんどう, omotesandou, 半蔵門線
青山一丁目, あおやまいっちょうめ, aoyama-itchome, 半蔵門線
永田町, ながたちょう, nagatacho, 半蔵門線
半蔵門, はんぞうもん, hanzomon, 半蔵門線
